Layer,M,N,K
Attn_Q_proj,256,96,96,
Attn_K_proj,256,96,96,
Attn_V_proj,256,96,96,
QKT_head,256,128,16,
QKTV_head,256,16,128,
Attn_O_proj,256,96,96,
Router_logits,256,8,96,
MoE-E0-FF1,69,432,96,
MoE-E0-FF2,69,96,432,
MoE-E1-FF1,51,48,96,
MoE-E1-FF2,51,96,48,
MoE-E2-FF1,34,384,96,
MoE-E2-FF2,34,96,384,
MoE-E3-FF1,34,96,96,
MoE-E3-FF2,34,96,96,
MoE-E4-FF1,17,288,96,
MoE-E4-FF2,17,96,288,
MoE-E5-FF1,17,192,96,
MoE-E5-FF2,17,96,192,
MoE-E6-FF1,17,240,96,
MoE-E6-FF2,17,96,240,
MoE-E7-FF1,17,240,96,
MoE-E7-FF2,17,96,240,
