Layer,M,N,K,
Attn_Q_proj,512,96,96,
Attn_K_proj,512,96,96,
Attn_V_proj,512,96,96,
QKT_head,512,128,16,
QKTV_head,512,16,128,
Attn_O_proj,512,96,96,
Router_logits,512,8,96,
MoE-E0-FF1,64,672,96,
MoE-E0-FF2,64,96,336,
MoE-E1-FF1,96,672,96,
MoE-E1-FF2,96,96,336,
MoE-E2-FF1,100,672,96,
MoE-E2-FF2,100,96,336,
MoE-E3-FF1,48,672,96,
MoE-E3-FF2,48,96,336,
MoE-E4-FF1,68,672,96,
MoE-E4-FF2,68,96,336,
MoE-E5-FF1,56,672,96,
MoE-E5-FF2,56,96,336,
MoE-E6-FF1,42,672,96,
MoE-E6-FF2,42,96,336,
MoE-E7-FF1,38,672,96,
MoE-E7-FF2,38,96,336,
